Description,Co-ordinates
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8194593344152, 144.94580509191)"
Drinking fountain - Historic or Heritage Drinking Fountains - Shrine Gardens,"(-37.8322430037609, 144.973028498262)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8149699277057, 144.960354376996)"
Drinking Fountain - Treated Timber Drinking Fountain - Carlton Gardens North,"(-37.80211398428, 144.972831003681)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8151856955789, 144.952577560092)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8195600890318, 144.960600413278)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8050183240013, 144.949110367753)"
Drinking Fountain - Treated Timber Drinking Fountain - Fitzroy Gardens,"(-37.8127669117626, 144.981550273258)"
Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,"(-37.7916643454951, 144.951756910505)"
Drinking fountain - Historic or Heritage Drinking Fountains - Merritts Place (MELBOURNE),"(-37.8146671517901, 144.955585234101)"
Drinking Fountain - Treated Timber Drinking Fountain,"(-37.828420916274, 144.984601914497)"
Drinking Fountain - Treated Timber Drinking Fountain - Carlton Gardens South,"(-37.805961249315, 144.97143107579)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.7885814426244, 144.926231546702)"
Drinking Fountain - Treated Timber Drinking Fountain - Murchison Square,"(-37.8004077596256, 144.972735460332)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.807260397828, 144.95788106825)"
Drinking Fountain - Concrete Drinking Fountain,"(-37.8452141594852, 144.982561402047)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8076874316715, 144.963061369489)"
Drinking Fountain - Treated Timber Drinking Fountain - Powlett Reserve,"(-37.8110854710656, 144.986823716213)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8183933129014, 144.944677963517)"
Drinking Fountain - Treated Timber Drinking Fountain - Treasury Gardens,"(-37.8136951369858, 144.974906315926)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8151598514014, 144.937125497114)"
Drinking Fountain - Treated Timber Drinking Fountain - Birrarung Marr,"(-37.8187709779357, 144.974081553572)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8346360209983, 144.974884417121)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8244933091171, 144.945698113849)"
Drinking Fountain - Treated Timber Drinking Fountain - Fitzroy Gardens,"(-37.8156915367919, 144.982267157829)"
Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,"(-37.7773389831373, 144.953278005616)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8105660851822, 144.967720286969)"
Drinking Fountain - Treated Timber Drinking Fountain - Fitzroy Gardens,"(-37.8136756441834, 144.982685205849)"
Drinking Fountain - Treated Timber Drinking Fountain - Alexandra Gardens,"(-37.8208779687721, 144.97293196853)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8246883150092, 144.946953100364)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8154478918731, 144.967054551642)"
Drinking Fountain - Treated Timber Drinking Fountain - Fawkner Park,"(-37.8452148995552, 144.982562518304)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8139402875833, 144.9639184501)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8076881881237, 144.962480022464)"
Drinking Fountain - Urban Design Style,"(-37.7973592380457, 144.973986297003)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8126175750229, 144.968349902378)"
Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,"(-37.7861520110883, 144.953492938285)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.820079301736, 144.943361108464)"
Drinking Fountain - Treated Timber Drinking Fountain - Alexandra Gardens,"(-37.820518073913, 144.973185269625)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Fawkner Park,"(-37.8405910312944, 144.984202033405)"
Drinking Fountain - Drinking Fountain - Type 2 - Birrarung Marr,"(-37.8184660124554, 144.973882115034)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8119117545416, 144.970768525522)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8183432233905, 144.94657955181)"
Drinking Fountain - Treated Timber Drinking Fountain - Flagstaff Gardens,"(-37.8097929563385, 144.955101997265)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8241612946004, 144.943864118641)"
Drinking fountain - unspecified type - Alexandra Park,"(-37.8195711188052, 144.97182464875)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8188136383738, 144.942903892035)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8160798397503, 144.93862697161)"
Drinking fountain - Historic or Heritage Drinking Fountains - Victoria Parade (EAST MELBOURNE),"(-37.808251146083, 144.975316533529)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.7927528059838, 144.968443358896)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8033749605411, 144.96636834131)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8126275332669, 144.95695655628)"
Drinking fountain - Historic or Heritage Drinking Fountains - Royal Park,"(-37.78070592306, 144.951082880617)"
Drinking Fountain - Treated Timber Drinking Fountain - Carlton Gardens North,"(-37.8015432407352, 144.970746941042)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8101300875071, 144.991005541787)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8188456101475, 144.94837757274)"
Drinking fountain - Historic or Heritage Drinking Fountains - Queen Victoria Gardens,"(-37.8212367145505, 144.970770576692)"
Drinking Fountain - Treated Timber Drinking Fountain - Gardiner Reserve,"(-37.7988578384787, 144.943996213035)"
Drinking Fountain - Stainless Steel Drinking Fountain - Northbank Type,"(-37.8193878744274, 144.96424043663)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.7938223393979, 144.958038227771)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8165598194083, 144.958479412123)"
Drinking fountain - Historic or Heritage Drinking Fountains - Birrarung Marr,"(-37.8189077897311, 144.973019382446)"
Drinking fountain - unspecified type - Alexandra Park,"(-37.8279249255546, 144.983545032951)"
Drinking Fountain - Old Style Steel Drinking Fountain,"(-37.7951581767444, 144.971038079206)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8061169039552, 144.95713339672)"
Drinking Fountain - Stainless Steel Drinking Fountain - Old Docklands Type,"(-37.8145272518893, 144.942864987696)"
Drinking Fountain - Drinking Fountain - Monument Style Type 2 - Hardy Reserve,"(-37.7852832706525, 144.966191950519)"
Drinking Fountain - Treated Timber Drinking Fountain - Princes Park,"(-37.7860570095357, 144.963077934929)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.7963935648132, 144.946448993107)"
Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,"(-37.7853316408844, 144.953470604207)"
Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,"(-37.7787439684459, 144.952731046492)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.7894263403322, 144.925216012916)"
Drinking fountain - Historic or Heritage Drinking Fountains - Errol Street Reserve,"(-37.7992334738886, 144.950413370728)"
Drinking Fountain - Treated Timber Drinking Fountain - Fitzroy Gardens,"(-37.8106933291554, 144.983071937749)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8124380048556, 144.973681157789)"
